开辟	kai1pi4	open up; start
宇宙	yu3zhou4	universe
混沌	hun4dun4	chaotic
强壮	qiang2zhuang4	strong; sturdy; robust
爆炸	bao4zha4	blast; blow up; explode
裂	lie4	crack; split
缝隙	feng4xi4	gap; chink
清新	qing1xin1	fresh and clean; fresh and refined
放松	fang4song1	relax; release
孤独	gu1du2	alone; solitary
奔流不尽	ben1liu2bu2jin4	roll on incessantly
闪烁	shan3shuo4	glitter; flicker
光芒	guang1mang2	rays of light
晴朗	qing2lang3	sunshiny; fine; fair
阴沉沉	yin1chen2chen2	sombre; gloomy; sullen
默默	mo4mo4	dumbly; silently
筋脉	jin1mai4	muscle and veins
肌肉	ji1rou4	muscle
肥沃	fei2wo4	fecund; fertile
金属	jin1shu3	metal
精髓	jing1shui2	marrow
珍珠	zhen1zhu1	pearl
滋润	zi1run4	moist
甘泉	gan1quan2	sweet and refreshing spring water
寄生	ji4sheng1	parasitize
不愧	bu2kui4	be worthy of the name
